@timestamp,integration_latency
2025-12-04 15:46:07.509,6963
2025-12-04 15:44:58.405,1206
2025-12-04 15:43:12.859,945
2025-12-04 15:42:25.232,9985
2025-12-04 15:42:24.714,3182
2025-12-04 15:42:24.316,4539
2025-12-04 15:42:17.685,1875
2025-12-04 15:42:15.692,2175
2025-12-04 15:41:07.133,4078
2025-12-04 15:41:05.749,7451
2025-12-04 15:41:05.572,2148
2025-12-04 15:41:04.440,2740
2025-12-04 15:39:40.448,2129
2025-12-04 15:39:37.678,2566
2025-12-04 15:37:52.674,2657
2025-12-04 15:37:50.762,3163
2025-12-04 15:37:46.889,2275
2025-12-04 15:37:46.862,1965
2025-12-04 15:37:22.431,2506
2025-12-04 15:37:22.372,2376
2025-12-04 15:35:48.418,1375
2025-12-04 15:35:45.638,2155
2025-12-04 15:35:44.210,2450
2025-12-04 15:35:25.334,2632
2025-12-04 15:35:24.952,2907
2025-12-04 15:34:53.536,3954
2025-12-04 15:34:52.602,3429
2025-12-04 15:33:23.704,2180
2025-12-04 15:33:21.066,2162
2025-12-04 15:32:33.324,1852
2025-12-04 15:32:30.034,2192
2025-12-04 15:32:11.750,2301
2025-12-04 15:32:11.378,2431
2025-12-04 15:30:24.686,2650
2025-12-04 15:30:22.519,2226
2025-12-04 15:29:55.120,7795
2025-12-04 15:29:54.266,5928
2025-12-04 15:28:55.715,1827
2025-12-04 15:28:55.511,1766
2025-12-04 15:28:33.658,7257
2025-12-04 15:28:32.246,6133
2025-12-04 15:27:49.151,888
2025-12-04 15:27:26.318,4609
2025-12-04 15:27:21.780,5190
2025-12-04 15:26:52.385,2160
2025-12-04 15:26:51.910,1897
2025-12-04 15:26:33.062,4103
2025-12-04 15:26:32.629,5022
2025-12-04 15:24:23.632,8461
2025-12-04 15:24:23.434,8635
2025-12-04 15:23:18.512,1703
2025-12-04 15:23:17.223,2134
2025-12-04 15:21:03.170,2083
2025-12-04 15:21:02.520,2722
2025-12-04 15:20:39.321,4037
2025-12-04 15:20:38.260,4047
2025-12-04 15:20:20.489,2020
2025-12-04 15:20:19.210,2904
2025-12-04 15:20:12.854,5528
2025-12-04 15:20:11.610,2544
2025-12-04 15:20:07.801,9118
2025-12-04 15:20:07.033,9401
